"","Element ID","/Layer_1/Native&Riparian Veg. Percolation (-)(AF/year)"
"392",392,606.671617066882
"393",393,1862.59742882251
"394",394,652.165972926587
"395",395,1985.82941152113
"396",396,247.196624826687
"397",397,158.095593751593
"398",398,0
"399",399,317.669137134256
"400",400,537.39424295003
"401",401,67.6993989041474
"402",402,29.4024155825787
"403",403,83.2207856624939
"404",404,0
"405",405,0
"406",406,235.823043030362
"407",407,410.240783415473
"408",408,293.572053297519
"409",409,186.488808947148
"410",410,0
"411",411,0
"412",412,210.872369096505
"413",413,419.172592393666
"414",414,506.135107041482
"415",415,679.195804173081
"416",416,440.045669841766
"417",417,0
"418",418,0
"419",419,0
"420",420,0
"421",421,0
"422",422,58.8704366259285
"423",423,0.549288916832281
"424",424,176.153974853903
"425",425,57.2879592306199
"426",426,1.24724204282577
"427",427,94.653905435441
"428",428,47.5877755579658
"429",429,46.047733048444
"430",430,163.667661942083
"431",431,52.1631149853405
"432",432,107.740472485641
"433",433,190.150569258532
"434",434,276.745126058329
"435",435,381.794880742198
"436",436,710.351445403385
"437",437,460.797559577812
"438",438,1026.80646599417
"439",439,1115.38144001355
"440",440,472.551228001461
"441",441,1045.30439410056
"442",442,1026.50984173365
"443",443,400.266268602793
"444",444,739.422179675624
"445",445,254.640199874412
"446",446,166.098219097972
"447",447,0
"448",448,517.666641483404
"449",449,621.942626252523
"450",450,364.12511199614
"451",451,681.340365802009
"452",452,671.712940169345
"453",453,39.6937331560096
"454",454,109.874244054685
"455",455,514.413900425143
"456",456,529.000630269267
"457",457,0
"458",458,0
"459",459,186.135553855176
"460",460,498.168103084781
"461",461,487.591171531332
"462",462,489.799026628512
"463",463,540.024362593075
"464",464,521.503842288396
"465",465,748.865412453321
"466",466,0
"467",467,0
"468",468,0
"469",469,0
"470",470,76.496839315662
"471",471,61.8862888665475
"472",472,69.2391192474199
"473",473,67.4442291924657
"474",474,0
"475",475,150.107841731504
"476",476,192.230292279397
"477",477,143.694634771873
"478",478,98.1552497593795
"479",479,90.1266278949587
"480",480,112.141125961989
"481",481,80.5218324074624
"482",482,264.835995707834
"483",483,602.748450732506
"484",484,751.07300796914
"485",485,669.158921118231
"486",486,353.023531958895
"487",487,340.392649855662
"488",488,841.522564989258
"489",489,775.705822826773
"490",490,675.768298998722
"491",491,773.662476151584
"492",492,314.230324694653
"493",493,473.293999611009
"494",494,834.871307472277
"495",495,156.771891630192
"496",496,199.999956113908
"497",497,389.964216075018
"498",498,493.18306337364
"499",499,464.621142895525
"500",500,294.806787214977
"501",501,289.787927723736
"502",502,368.950358571701
"503",503,695.510562877052
"504",504,577.206268663123
"505",505,380.481302767236
"506",506,514.717626925162
"507",507,506.886096591139
"508",508,207.972316375261
"509",509,560.348095972539
"510",510,148.65611690225
"511",511,478.370756055101
"512",512,529.244953064346
"513",513,595.841462355144
"514",514,635.613207515957
"515",515,626.082878513336
"516",516,676.445523688892
"517",517,375.51319307478
"518",518,430.417830211032
"519",519,0
"520",520,566.998729007212
"521",521,17.7218279182306
"522",522,10.7157971695127
"523",523,37.3637384800009
"524",524,49.8248110723916
