"","Element ID","/Layer_1/Native&Riparian Veg. Potential ET(AF/year)"
"434",434,304.571818231076
"435",435,422.993668470143
"436",436,582.58580589238
"437",437,331.136816126745
"438",438,734.935844102109
"439",439,769.592116615703
"440",440,314.931307458872
"441",441,689.773302193714
"442",442,744.680402716316
"443",443,443.599250025975
"444",444,866.973812646203
"445",445,266.524334838075
"446",446,325.724795535035
"447",447,0
"448",448,703.119339745029
"449",449,991.552226571967
"450",450,718.567904524807
"451",451,1130.05358998746
"452",452,925.50501027063
"453",453,60.4749949681415
"454",454,149.061212100407
"455",455,824.70938693088
"456",456,619.835593672347
"457",457,0
"458",458,0
"459",459,388.66256606093
"460",460,609.988180753676
"461",461,635.28782233257
"462",462,522.372342667401
"463",463,595.946029103047
"464",464,558.559023815166
"465",465,741.682147219345
"466",466,0
"467",467,0
"468",468,0
"469",469,0
"470",470,70.3134624348143
"471",471,59.4628063840715
"472",472,74.5961458846791
"473",473,64.5378233560303
"474",474,0
"475",475,163.102507616386
"476",476,356.611440311675
"477",477,176.293891235446
"478",478,204.087194328188
"479",479,231.302962433801
"480",480,212.312079128855
"481",481,155.115207621604
"482",482,287.068113282283
"483",483,513.287459495641
"484",484,543.497281705326
"485",485,514.227867663005
"486",486,252.448605051927
"487",487,265.367448409182
"488",488,590.788850660518
"489",489,512.100979322584
"490",490,434.210300392286
"491",491,509.093526100738
"492",492,208.085027248759
"493",493,395.955354085366
"494",494,606.503712870468
"495",495,215.514513529428
"496",496,362.032970802066
"497",497,564.947893037008
"498",498,612.876588863234
"499",499,749.850920151503
"500",500,586.969743591119
"501",501,580.267564156536
"502",502,624.470039868947
"503",503,1139.4512581494
"504",504,928.073920274035
"505",505,619.165093534254
"506",506,781.591702224091
"507",507,851.251734989306
"508",508,377.053354202742
"509",509,783.120526775426
"510",510,251.036585204265
"511",511,556.585683542992
"512",512,601.497998238577
"513",513,690.38596738545
"514",514,844.838811434892
"515",515,695.493815352626
"516",516,736.021408839539
"517",517,747.031818926365
"518",518,632.249937689463
"519",519,0
"520",520,637.16884393219
"521",521,15.2351820020807
"522",522,17.7220983248992
"523",523,80.4312283537203
"524",524,71.5348887489481
"525",525,53.0301089751564
"526",526,195.396562911546
"527",527,387.535858837329
"528",528,377.413544933172
"529",529,38.3039874399738
"530",530,328.326280341413
"531",531,404.140793311239
"532",532,467.898402057233
"533",533,439.321122369208
"534",534,398.854041970062
"535",535,428.177601332904
"536",536,175.014165756519
"537",537,344.163734284024
"538",538,381.772714901025
"539",539,410.668387796815
"540",540,426.07541191845
"541",541,292.072117894982
"542",542,235.342538154059
"543",543,98.4127303932451
"544",544,335.311907266808
"545",545,157.118195373759
"546",546,201.869508510971
"547",547,221.091477696746
"548",548,359.993432825522
"549",549,544.90074428575
"550",550,263.644230239003
"551",551,784.45596264718
"552",552,693.525493181903
"553",553,258.881052069689
"554",554,420.605709200337
"555",555,365.770326794826
"556",556,327.509501631617
"557",557,433.950831619681
"558",558,473.744509236878
"559",559,280.109235216049
"560",560,634.862287628377
"561",561,632.553629557736
"562",562,975.611040264559
"563",563,1043.25489367632
"564",564,683.934937705008
"565",565,696.063708465825
"566",566,651.967954804555
"567",567,751.430420020891
"568",568,789.919089720633
"569",569,832.819436748565
"570",570,292.636528269201
"571",571,531.550977938535
"572",572,731.164530237146
"573",573,693.824850881286
"574",574,680.574807756977
"575",575,780.504156680895
"576",576,777.435650893006
"577",577,530.239563454275
"578",578,90.1168905168206
"579",579,79.348052263428
"580",580,74.6209050609654
"581",581,52.3740569262687
"582",582,190.570130511915
"583",583,41.2392184852235
"584",584,1.45357124803033
"585",585,74.1135942158773
"586",586,235.893078014816
"587",587,397.266418938094
"588",588,407.087703982835
"589",589,402.557720730701
"590",590,358.91060676957
"591",591,356.279343816423
"592",592,156.954507938668
"593",593,165.690225051248
"594",594,151.674384256135
"595",595,265.764813366997
"596",596,172.229788221697
"597",597,206.624374798215
"598",598,114.212891923971
"599",599,224.446260552732
"600",600,185.089781861119
"601",601,54.1673359188033
"602",602,21.8156801672724
"603",603,46.1213433116336
"604",604,46.3015476547083
"605",605,80.8576888234938
"606",606,40.4894218778177
"607",607,318.589326644925
"608",608,204.897490251228
"609",609,606.436730866965
"610",610,622.401412657183
"611",611,933.122492405001
"612",612,515.016608313486
"613",613,876.076204453467
"614",614,549.213860983908
"615",615,241.470431894052
"616",616,99.5728770133777
"617",617,225.287980898749
"618",618,140.11743236974
"619",619,99.6291525941211
"620",620,293.621166670742
"621",621,472.430314659523
"622",622,495.221035628869
"623",623,413.63884728465
"624",624,464.882787035503
"625",625,525.860491920544
"626",626,422.777340343914
"627",627,670.833993078576
"628",628,802.56737699729
"629",629,241.230658614628
"630",630,446.839366473997
"631",631,570.565471763844
"632",632,738.554491627265
"633",633,675.043123475919
"634",634,667.350674106528
"635",635,637.633207178367
"636",636,542.591190918901
"637",637,761.281720468135
"638",638,603.057896051137
"639",639,0
"640",640,596.628601076745
"641",641,0
"642",642,636.92571195669
"643",643,291.916067192087
"644",644,87.0445598881602
"645",645,529.823542338116
"646",646,82.9601027250216
"647",647,73.8674656304993
"648",648,9.94094963996433
"649",649,67.9923925158532
"650",650,0
"651",651,149.868817685696
"652",652,35.3547662652307
"653",653,215.065370786185
"654",654,231.787271626413
"655",655,247.195511035752
"656",656,161.172938712788
"657",657,321.617813923059
"658",658,138.232308918584
"659",659,230.503105075811
"660",660,163.84326268025
"661",661,172.068010445905
"662",662,89.3577285335901
"663",663,263.249047118667
"664",664,76.0216023776658
"665",665,21.0943809958165
"666",666,96.4904520322086
"667",667,43.5042434514837
"668",668,111.826511353545
"669",669,140.809916600792
"670",670,119.630081912033
"671",671,40.4155908791907
"672",672,223.388417213689
"673",673,251.148132776184
"674",674,139.381676289683
"675",675,29.4637335695036
"676",676,51.3284114727096
"677",677,85.2712728112904
"678",678,391.592646776557
"679",679,951.567229315722
"680",680,519.808234594557
"681",681,63.2522125063622
"682",682,152.803558625919
"683",683,159.815932297798
"684",684,180.91718380797
"685",685,112.283105763209
"686",686,173.774031025215
"687",687,226.823858205436
"688",688,413.035881652784
"689",689,373.589183257772
"690",690,333.505121570962
"691",691,228.701112698194
"692",692,88.5589065462494
"693",693,296.31121985874
"694",694,388.190447121129
"695",695,254.583945329899
"696",696,295.40718263984
"697",697,94.2301597502768
"698",698,192.073564729447
"699",699,281.06080463689
"700",700,343.537992714104
"701",701,411.576749249075
"702",702,549.16305397773
"703",703,565.408883347388
"704",704,64.8083032610362
"705",705,663.150690310417
"706",706,0
"707",707,0
"708",708,264.944845384688
"709",709,89.0953256586204
"710",710,176.503902949745
"711",711,288.760782886547
"712",712,141.377862964558
"713",713,119.154571521075
"714",714,0
"715",715,215.749434626917
"716",716,422.610216739354
