"","Element ID","/Layer_1/Native&Riparian Veg. Area(AF/year)"
"637",637,6744.3512144559
"638",638,5342.61383698881
"639",639,0
"640",640,5285.65539151087
"641",641,0
"642",642,5642.65577835203
"643",643,2586.14443162444
"644",644,769.971683983978
"645",645,4693.81564687782
"646",646,733.842058055917
"647",647,653.411003684239
"648",648,25.4397278725576
"649",649,173.998291774022
"650",650,0
"651",651,383.526993411511
"652",652,90.4759203091438
"653",653,1905.30831839397
"654",654,2053.45107449543
"655",655,2189.95583400692
"656",656,1427.86418709303
"657",657,2849.27830999119
"658",658,1224.62843316244
"659",659,2042.0743791115
"660",660,1451.52113590545
"661",661,1524.38586664899
"662",662,791.638481199766
"663",663,1764.6516711224
"664",664,623.861288905922
"665",665,154.964517571645
"666",666,666.943777564038
"667",667,346.419409465632
"668",668,989.512359737902
"669",669,1237.12379032754
"670",670,952.585743423589
"671",671,358.050025503577
"672",672,1979.04389718443
"673",673,2224.97292231817
"674",674,1220.33450215621
"675",675,254.52579916253
"676",676,454.728945861444
"677",677,736.8234386541
"678",678,3469.19973493574
"679",679,8430.1296433671
"680",680,4605.08797730776
"681",681,560.364349707465
"682",682,1353.71812889212
"683",683,1211.40763080392
"684",684,1039.37792570266
"685",685,935.952741526295
"686",686,728.27342349434
"687",687,1945.37054461694
"688",688,2325.89221651274
"689",689,2421.08237135176
